alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.5,8,PolySHAP_regression,1500,0.42853180353583648,0.0009427369570790523,0.1035050486130793,151.222
0.5,8,PolySHAP_regression,2000,0.29760081909409047,0.00065469887719438375,0.08625555331311871,151.222
0.5,8,PolySHAP_regression,2500,0.2520021130486369,0.00055438523645794254,0.079372872105121159,151.222
0.5,8,PolySHAP_regression,3000,0.19028525981119301,0.00041861291351366262,0.068971961660372005,151.222
0.5,8,PolySHAP_regression,3500,0.14975026918344828,0.00032943905662760701,0.061186246245265009,151.222
0.5,8,PolySHAP_regression,4000,0.14535296096810812,0.00031976531728769401,0.060281207886062671,151.222
0.5,8,PolySHAP_regression,4500,0.12011069228100626,0.00026423427064074378,0.054797511868926646,151.222
0.5,8,PolySHAP_regression,5000,0.096586562395974587,0.0002124829970065278,0.049139231372696143,151.222
0.5,9,EaseSHAP_order2,500,0.88019576455654525,0.0019363628787064226,0.1483404668791144,32.4931
0.5,9,EaseSHAP_order2,1000,0.48352713076105508,0.0010637224405696227,0.10994625172795285,32.4931
0.5,9,EaseSHAP_order2,1500,0.28469279950049964,0.00062630222842019077,0.084364210347234861,32.4931
0.5,9,EaseSHAP_order2,2000,0.18547283383272031,0.00040802594707224627,0.068094205669924718,32.4931
0.5,9,EaseSHAP_order2,2500,0.1219337534717575,0.0002682448648261856,0.055211808852762084,32.4931
0.5,9,EaseSHAP_order2,3000,0.096495546106732638,0.00021228276818137035,0.049116073261899873,32.4931
0.5,9,EaseSHAP_order2,3500,0.069567365080517835,0.00015304284425772004,0.041703526553673445,32.4931
0.5,9,EaseSHAP_order2,4000,0.054977922456035458,0.0001209471943390933,0.037073549349919091,32.4931
0.5,9,EaseSHAP_order2,4500,0.043228083918658011,9.5098454671464246e-05,0.032874033795177164,32.4931
0.5,9,EaseSHAP_order2,5000,0.041841565575977818,9.2048221123971412e-05,0.03234252833962499,32.4931
0.5,9,PolySHAP_regression,500,1.7702248430290579,0.003894358290547266,0.21037020006580412,165.186
0.5,9,PolySHAP_regression,1000,1.1081000835524972,0.0024377348245518608,0.16644068639852586,165.186
0.5,9,PolySHAP_regression,1500,0.65169941227809258,0.0014336885052450429,0.12764202014600176,165.186
0.5,9,PolySHAP_regression,2000,0.52531156336512375,0.0011556449735564663,0.11459838168197703,165.186
0.5,9,PolySHAP_regression,2500,0.43283009596775152,0.00095219286932282264,0.10402284556381731,165.186
0.5,9,PolySHAP_regression,3000,0.31294283541709922,0.00068845013127744471,0.088450951862755436,165.186
0.5,9,PolySHAP_regression,3500,0.30454971554956084,0.00066998591410841223,0.087256764143182744,165.186
0.5,9,PolySHAP_regression,4000,0.26318736932878461,0.0005789919386506166,0.081115252777881522,165.186
0.5,9,PolySHAP_regression,4500,0.21308681346260769,0.00046877457509547751,0.072987466982799135,165.186
0.5,9,PolySHAP_regression,5000,0.17910647073176966,0.00039402043866440024,0.066915332834069072,165.186
0.707107,0,EaseSHAP_order2,500,0.74050959503747726,0.0010368476788556295,0.13606152974274885,31.9487
0.707107,0,EaseSHAP_order2,1000,0.25550224797491428,0.0003577494667598167,0.079922188404552952,31.9487
0.707107,0,EaseSHAP_order2,1500,0.16073981380729546,0.00022506487959463313,0.063391603112576245,31.9487
0.707107,0,EaseSHAP_order2,2000,0.13053102718427637,0.0001827671018196711,0.05712508800524433,31.9487
0.707107,0,EaseSHAP_order2,2500,0.0808308642368607,0.0001131778636300343,0.044952993292121469,31.9487
0.707107,0,EaseSHAP_order2,3000,0.071317103984315122,9.9856874542051448e-05,0.042224727347940069,31.9487
0.707107,0,EaseSHAP_order2,3500,0.054704030584339078,7.6595560024510877e-05,0.036981086579608191,31.9487
0.707107,0,EaseSHAP_order2,4000,0.044280560667542351,6.2000812486762646e-05,0.033271820158935685,31.9487
0.707107,0,EaseSHAP_order2,4500,0.030989025817750347,4.3390254095904687e-05,0.027833893824683577,31.9487
0.707107,0,EaseSHAP_order2,5000,0.026738145567366846,3.743825111006856e-05,0.025854470390711377,31.9487
0.707107,0,PolySHAP_regression,500,1.637293313065401,0.0022925074605843394,0.20231740613855995,145.621
0.707107,0,PolySHAP_regression,1000,0.84505792236524235,0.0011832342905139775,0.14534939992697274,145.621
0.707107,0,PolySHAP_regression,1500,0.44398555457148497,0.00062166026583298421,0.10535482364033992,145.621
0.707107,0,PolySHAP_regression,2000,0.31674942731165667,0.00044350662123469138,0.088987278207569742,145.621
0.707107,0,PolySHAP_regression,2500,0.24318943119357431,0.0003405092910950289,0.077972660464032881,145.621
0.707107,0,PolySHAP_regression,3000,0.19686898992660012,0.00027565227596236205,0.070155005154051583,145.621
0.707107,0,PolySHAP_regression,3500,0.17392413363358392,0.00024352531751574552,0.065940149687725144,145.621
0.707107,0,PolySHAP_regression,4000,0.12682139924839095,0.00017757295019690093,0.056307503773562674,145.621
0.707107,0,PolySHAP_regression,4500,0.11271768372821968,0.00015782519162857393,0.053084292339688317,145.621
0.707107,0,PolySHAP_regression,5000,0.11472971471491608,0.00016064239976783671,0.053555978824711074,145.621
0.707107,1,EaseSHAP_order2,500,0.71034069496335706,0.00099460574948009471,0.13326108724636732,32.1837
0.707107,1,EaseSHAP_order2,1000,0.17305413107733839,0.00024230715621562627,0.065775020159126202,32.1837
0.707107,1,EaseSHAP_order2,1500,0.10155711622675241,0.00014219837384504168,0.050387775359394565,32.1837
0.707107,1,EaseSHAP_order2,2000,0.05344940758457873,7.4838860376244253e-05,0.036554550874199891,32.1837
0.707107,1,EaseSHAP_order2,2500,0.038342174268393633,5.3685994967357546e-05,0.03096052901211219,32.1837
0.707107,1,EaseSHAP_order2,3000,0.03774276590436542,5.2846714591931962e-05,0.030717570665811701,32.1837
0.707107,1,EaseSHAP_order2,3500,0.036080741797418991,5.0519579536508012e-05,0.030033623573180023,32.1837
0.707107,1,EaseSHAP_order2,4000,0.023194320772997799,3.2476253943608328e-05,0.024080241263844199,32.1837
0.707107,1,EaseSHAP_order2,4500,0.019371209011071498,2.7123204391079136e-05,0.022006367834715195,32.1837
0.707107,1,EaseSHAP_order2,5000,0.016898011057648682,2.3660278894175668e-05,0.020553595219358026,32.1837
0.707107,1,PolySHAP_regression,500,1.5726139178333507,0.002201944581635089,0.19828098231003841,145.027
0.707107,1,PolySHAP_regression,1000,0.51228878770299724,0.00071729717480127273,0.11316898732680666,145.027
0.707107,1,PolySHAP_regression,1500,0.27937408192217128,0.00039117436197267047,0.083572435934668551,145.027
0.707107,1,PolySHAP_regression,2000,0.2752866138380986,0.00038545116564440041,0.082958817168233931,145.027
0.707107,1,PolySHAP_regression,2500,0.2334002680770618,0.00032680268807014649,0.07638721556599995,145.027
0.707107,1,PolySHAP_regression,3000,0.21237054084809315,0.00029735725750388946,0.072864693241667652,145.027
0.707107,1,PolySHAP_regression,3500,0.18635447490217766,0.00026093004876851541,0.068255855957964823,145.027
0.707107,1,PolySHAP_regression,4000,0.15702512534143465,0.00021986364231248198,0.062654833281526379,145.027
0.707107,1,PolySHAP_regression,4500,0.13292791737901583,0.00018612318262070603,0.057647184965750019,145.027
0.707107,1,PolySHAP_regression,5000,0.12440569071322091,0.00017419052030771628,0.055768649506963343,145.027
