alpha,run_idx,algorithm,nue,sq_error,rel_sq_error,rmse,elapsed_sec
0.707107,3,RegressionMSR_unbiased_plain,500,1.6387104193267035,0.0022944916662550963,0.20240494184472765,12.3528
0.707107,3,RegressionMSR_unbiased_plain,1000,1.0780165693344281,0.0015094186289723115,0.16416581322967552,12.3528
0.707107,3,RegressionMSR_unbiased_plain,1500,0.70437561637861834,0.00098625355806187978,0.13270037833203588,12.3528
0.707107,3,RegressionMSR_unbiased_plain,2000,0.54063101932202917,0.00075698143718587376,0.11625736743557687,12.3528
0.707107,3,RegressionMSR_unbiased_plain,2500,0.35589521387110268,0.00049831781909511256,0.094325926164430349,12.3528
0.707107,3,RegressionMSR_unbiased_plain,3000,0.26672183562227891,0.00037345892344727336,0.081658103642914537,12.3528
0.707107,3,RegressionMSR_unbiased_plain,3500,0.21676501331058617,0.00030351031561828194,0.07361470867132909,12.3528
0.707107,3,RegressionMSR_unbiased_plain,4000,0.17640688290821716,0.00024700161659388739,0.066409126426308515,12.3528
0.707107,3,RegressionMSR_unbiased_plain,4500,0.16646584837500525,0.00023308236605309895,0.064510822420545316,12.3528
0.707107,3,RegressionMSR_unbiased_plain,5000,0.16329016135496996,0.0002286358285098158,0.063892519389003977,12.3528
0.707107,4,EaseSHAP,500,1.5657808243665488,0.0021923770120209525,0.19784974250466875,12.3867
0.707107,4,EaseSHAP,1000,0.62330994304434684,0.00087274691912730376,0.12483087989799908,12.3867
0.707107,4,EaseSHAP,1500,0.39238196955601157,0.00054940589167971638,0.099043168562502532,12.3867
0.707107,4,EaseSHAP,2000,0.35175537292330189,0.00049252129126303018,0.09377571286363301,12.3867
0.707107,4,EaseSHAP,2500,0.3597525418471943,0.00050371877755047605,0.094835718725487891,12.3867
0.707107,4,EaseSHAP,3000,0.33597596048682454,0.00047042725322745397,0.091648235183066196,12.3867
0.707107,4,EaseSHAP,3500,0.29116554979753323,0.00040768455465457759,0.085317868849018541,12.3867
0.707107,4,EaseSHAP,4000,0.22857106478191783,0.00032004092797838349,0.075592834445785573,12.3867
0.707107,4,EaseSHAP,4500,0.19924603649857128,0.00027898057209410263,0.070577269091856215,12.3867
