method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
sampling_lift,Sampling lift,11,2037,17,8500,0.17946316537561027,0.07092751358047497,0.001030756649120944,0.0009793397236794235,0.9779453013785034,0.9708043217286914,4,7,14,0.001479175708489534,0.0014233058483267749,0.9695340098320925,0.9578391356542617,4,7,14
sampling_lift,Sampling lift,11,2037,18,9000,0.18357707209460095,0.0668136068614843,0.0009349755983884946,0.0008920052452392624,0.9839136531272402,0.9774309723889555,4,8,14,0.001383500475111425,0.001335971369886614,0.9774072964858102,0.9666746698679471,4,8,14
sampling_lift,Sampling lift,11,2037,19,9500,0.17522065067419404,0.0751700282818912,0.0010945286717424381,0.0010543744198696836,0.9830683538881481,0.9776230492196878,4,8,14,0.0015469701030705351,0.0015021560778231424,0.9762626884089715,0.9660984393757502,4,8,14
sampling_lift,Sampling lift,11,2037,20,10000,0.1682273026539164,0.08216337630216886,0.0012313154338486883,0.0011906361428335442,0.9822650455641432,0.9757022809123649,4,8,14,0.0016851615445064208,0.0016420230382286946,0.9753934719690665,0.9636014405762304,4,8,14
LeverageSHAP,LeverageSHAP,11,2037,1,500,0.25039067895608524,0.0,0.012047657981825801,0.009165452055624227,-0.007678399196205681,-0.02799519807923169,1,2,4,0.012039012579942722,0.009115853102797205,-0.008756411508811679,-0.022905162064825933,1,2,5
LeverageSHAP,LeverageSHAP,11,2037,2,1000,0.2503906789560853,5.551115123125783e-17,0.010472551864790633,0.008496371865981137,0.10049848049928649,0.06506602641056422,1,4,6,0.010455475153420872,0.008436221931572004,0.10784124342877266,0.07505402160864347,1,3,6
LeverageSHAP,LeverageSHAP,11,2037,3,1500,0.25039067895608524,0.0,0.008759926904098252,0.00722809664822878,0.19680357640720528,0.15351740696278512,1,4,6,0.008799662935317067,0.007342017290911893,0.17399812435953696,0.16139255702280914,1,3,7
LeverageSHAP,LeverageSHAP,11,2037,4,2000,0.2503906789560853,5.551115123125783e-17,0.007327565402792039,0.005789503091876461,0.2438528577576442,0.1962545018007203,1,3,5,0.007378977985515175,0.005806635707412083,0.21506897538796682,0.20019207683073229,1,2,5
LeverageSHAP,LeverageSHAP,11,2037,5,2500,0.25039067895608524,0.0,0.00609045010880278,0.004750285098785601,0.3790561159587196,0.34953181272509,2,4,7,0.006184571454723061,0.00477852398875195,0.3318154910857084,0.3231212484993997,2,3,7
LeverageSHAP,LeverageSHAP,11,2037,6,3000,0.2503906789560853,5.551115123125783e-17,0.006410107102627575,0.004950657068281295,0.4059793611498363,0.39169267707082833,1,4,6,0.006562408649085876,0.004985496636836024,0.32856475246968525,0.3535654261704682,1,3,5
