mask,n_states,n_train,utility,log_loss,mode,elapsed_sec
20,2,1000,-0.4709219680709642,0.4709219680709642,ridge_fixed,0.002907958987634629
24,2,1000,-0.474822965687798,0.474822965687798,ridge_fixed,0.003079083049669862
34,2,1000,-0.46646764252512135,0.46646764252512135,ridge_fixed,0.00287612498505041
36,2,1000,-0.46480996819082765,0.46480996819082765,ridge_fixed,0.0031803330057300627
40,2,1000,-0.47689534036266285,0.47689534036266285,ridge_fixed,0.002894708013627678
48,2,1000,-0.4569479613214356,0.4569479613214356,ridge_fixed,0.003348250000271946
66,2,1000,-0.47360974030939845,0.47360974030939845,ridge_fixed,0.003032042004633695
68,2,1000,-0.4634822102170317,0.4634822102170317,ridge_fixed,0.0030116660054773092
72,2,1000,-0.46556874239743284,0.46556874239743284,ridge_fixed,0.0030152919935062528
80,2,1000,-0.4591512042411499,0.4591512042411499,ridge_fixed,0.003511000017169863
96,2,1000,-0.461517390772605,0.461517390772605,ridge_fixed,0.0030590000096708536
129,2,1000,-0.46106662923061653,0.46106662923061653,ridge_fixed,0.0030131249804981053
130,2,1000,-0.4734709043515445,0.4734709043515445,ridge_fixed,0.0030739170033484697
132,2,1000,-0.4654268839379822,0.4654268839379822,ridge_fixed,0.003135290986392647
136,2,1000,-0.4759541440693835,0.4759541440693835,ridge_fixed,0.003108082979451865
144,2,1000,-0.46003167916028803,0.46003167916028803,ridge_fixed,0.003042957978323102
160,2,1000,-0.46084802890583065,0.46084802890583065,ridge_fixed,0.0031718339887447655
257,2,1000,-0.46656006294003766,0.46656006294003766,ridge_fixed,0.002984291990287602
258,2,1000,-0.46989185430219693,0.46989185430219693,ridge_fixed,0.003350124985445291
260,2,1000,-0.4599946250636164,0.4599946250636164,ridge_fixed,0.0029257090063765645
264,2,1000,-0.4906634720819372,0.4906634720819372,ridge_fixed,0.002865999995265156
272,2,1000,-0.4681055505727934,0.4681055505727934,ridge_fixed,0.0029566670418716967
288,2,1000,-0.45920329020556166,0.45920329020556166,ridge_fixed,0.003031416970770806
513,2,1000,-0.4651858922054804,0.4651858922054804,ridge_fixed,0.003027500002644956
514,2,1000,-0.458270689052104,0.458270689052104,ridge_fixed,0.003124459006357938
516,2,1000,-0.4657493097638932,0.4657493097638932,ridge_fixed,0.0029948329902254045
520,2,1000,-0.4807169073398011,0.4807169073398011,ridge_fixed,0.0028700410039164126
544,2,1000,-0.4640475816058776,0.4640475816058776,ridge_fixed,0.003112875041551888
576,2,1000,-0.4581480357424121,0.4581480357424121,ridge_fixed,0.0031412080279551446
640,2,1000,-0.45631922848546536,0.45631922848546536,ridge_fixed,0.0031209170119836926
1025,2,1000,-0.47635435203106213,0.47635435203106213,ridge_fixed,0.00301595899509266
1032,2,1000,-0.49955634781558866,0.49955634781558866,ridge_fixed,0.00328512501437217
1040,2,1000,-0.47300417522263766,0.47300417522263766,ridge_fixed,0.0032599170226603746
1056,2,1000,-0.47126224813156553,0.47126224813156553,ridge_fixed,0.003121791989542544
1088,2,1000,-0.4752531019503215,0.4752531019503215,ridge_fixed,0.0032971249893307686
1536,2,1000,-0.47375937859472445,0.47375937859472445,ridge_fixed,0.003337375004775822
2049,2,1000,-0.48048249587537545,0.48048249587537545,ridge_fixed,0.0030768750002607703
2050,2,1000,-0.46587842365887633,0.46587842365887633,ridge_fixed,0.002965291030704975
2052,2,1000,-0.4688327426980965,0.4688327426980965,ridge_fixed,0.0029622080037370324
2056,2,1000,-0.5038842665504071,0.5038842665504071,ridge_fixed,0.0031495000002905726
2080,2,1000,-0.4733622763269618,0.4733622763269618,ridge_fixed,0.0030748749850317836
2112,2,1000,-0.46721587697411804,0.46721587697411804,ridge_fixed,0.003057458030525595
2176,2,1000,-0.4596067732535548,0.4596067732535548,ridge_fixed,0.0030203749774955213
2304,2,1000,-0.4662266511102058,0.4662266511102058,ridge_fixed,0.0029295000131241977
2560,2,1000,-0.481069831491391,0.481069831491391,ridge_fixed,0.003076624998357147
3072,2,1000,-0.48986551586505495,0.48986551586505495,ridge_fixed,0.0034114589798264205
4100,2,1000,-0.4637486518768458,0.4637486518768458,ridge_fixed,0.003146249975543469
4104,2,1000,-0.47630415873498283,0.47630415873498283,ridge_fixed,0.0030746660195291042
