method,method_label,seed_index,estimator_seed,checkpoint,utility_evaluations,sum_estimated_values,efficiency_error,rmse_to_own_final_mean,mae_to_own_final_mean,pearson_to_own_final_mean,spearman_to_own_final_mean,top5_overlap_own_final_mean,top10_overlap_own_final_mean,top15_overlap_own_final_mean,rmse_to_reference,mae_to_reference,pearson_to_reference,spearman_to_reference,top5_overlap_reference,top10_overlap_reference,top15_overlap_reference
improved_AME,Improved AME,11,2037,5,2500,-0.05132948862031764,0.1408618149468909,0.04155580650494137,0.032444110860427734,0.13442701863820122,0.08993997599039616,1,3,4,0.04182998664211413,0.0322508648315836,0.17298937599598788,0.16811524609843936,1,3,6
improved_AME,Improved AME,11,2037,6,3000,-0.2511397606591298,0.34067208698570306,0.03815347030355112,0.03014403463376105,0.08430604801989376,0.06737094837935174,1,3,6,0.03818931604508059,0.030171885791731176,0.17299255585419807,0.17205282112845138,2,4,6
improved_AME,Improved AME,11,2037,7,3500,-0.2789551352947742,0.3684874616213475,0.03723628489603574,0.031113849113022347,0.05580898464804297,0.05584633853541416,2,4,6,0.037134308654520214,0.030920994082672407,0.15892354205921722,0.169171668667467,1,4,7
improved_AME,Improved AME,11,2037,8,4000,-0.13421185175875083,0.2237441780853241,0.03872996410089954,0.03042427530833637,0.1555263891674035,0.06487394957983193,1,3,6,0.03922192221928763,0.030742121274135913,0.05700133457751187,0.02463385354141657,1,3,6
improved_AME,Improved AME,11,2037,9,4500,-0.08570884839678036,0.17524117472335363,0.03582259202130348,0.027799583402164058,0.15535259377214844,0.07841536614645858,1,3,6,0.036221192798489205,0.028025890963380377,0.11847636306839145,0.10828331332533012,1,4,6
improved_AME,Improved AME,11,2037,10,5000,-0.07907606877107998,0.16860839509765324,0.03385752085809536,0.0258575314174778,0.15550987194314833,0.0857142857142857,2,3,7,0.03422859433550713,0.02626045930915447,0.1259572689920145,0.15313325330132052,1,4,7
improved_AME,Improved AME,11,2037,11,5500,0.05372629686965791,0.035806029456915356,0.032705462455925226,0.02525848150196,0.16065460604949094,0.05238895558223289,2,3,5,0.033029589908171134,0.025355569738627716,0.14365914793736795,0.1251860744297719,1,4,5
improved_AME,Improved AME,11,2037,12,6000,0.07455316449132543,0.014979161835247834,0.03314334985562472,0.02419238731573467,0.18575545483749087,0.06103241296518607,2,3,6,0.03361029923391422,0.02427462206573413,0.13634254044820057,0.16052821128451378,1,4,6
improved_AME,Improved AME,11,2037,13,6500,0.05909189443106133,0.030440431895511932,0.03011479318229834,0.022570692004329325,0.19028901951365682,0.09397358943577432,1,3,6,0.030524900208318557,0.023235396338317317,0.18921623960234965,0.1757983193277311,1,4,6
improved_AME,Improved AME,11,2037,14,7000,-0.0024401997545660525,0.09197252608113932,0.02881347451042129,0.022808081575885354,0.22043192028427613,0.09848739495798318,1,3,5,0.029395951180244018,0.02329937587520479,0.18937043155558841,0.1506362545018007,1,4,5
improved_AME,Improved AME,11,2037,15,7500,-0.17062210038422462,0.2601544267107979,0.031900918948535764,0.02451938821119416,0.2603990041067824,0.13815126050420168,1,3,6,0.03278110736530444,0.025282159136190457,0.21253212947084169,0.19135654261704682,1,4,6
improved_AME,Improved AME,11,2037,16,8000,-0.1325984127528076,0.22213073907938086,0.02927415008551314,0.022498978512082612,0.26556018275997434,0.1707082833133253,1,3,5,0.030129438396528492,0.022949144413916028,0.22489109763277162,0.22689075630252098,1,3,5
improved_AME,Improved AME,11,2037,17,8500,-0.05717895718870377,0.14671128351527704,0.02789495946448547,0.021556030302924124,0.27796149702770684,0.19663865546218487,1,3,5,0.028775727313261123,0.021606092542892585,0.224408151916081,0.23111644657863145,1,4,5
improved_AME,Improved AME,11,2037,18,9000,-0.03786581307003796,0.1273981393966112,0.02728639754210259,0.020720397913949407,0.2905672943440655,0.20460984393757503,1,3,5,0.02821869533236271,0.021268727100404825,0.22790087274679174,0.27327731092436974,2,3,5
improved_AME,Improved AME,11,2037,19,9500,-0.03566431116920297,0.12519663749577623,0.026785422229253526,0.020632530117366165,0.26678444034248894,0.1766626650660264,1,3,5,0.02756612828602991,0.0207975383869478,0.23712198416106783,0.2403361344537815,1,4,5
improved_AME,Improved AME,11,2037,20,10000,0.049534618185078205,0.03999770814149506,0.026091674025344198,0.02100142536605892,0.2969448845658217,0.21603841536614646,1,3,6,0.02697815238127769,0.02112872686248094,0.25694552786105224,0.23611044417767107,2,2,5
GELS,GELS,11,2037,1,500,0.05205064722328778,0.03748167910328548,0.0009122589147825789,0.0007272821163843462,0.8470136151888823,0.7987034813925569,3,8,12,0.0009786971537098352,0.000795245021445971,0.8464848815887948,0.8068667466986794,3,8,13
GELS,GELS,11,2037,2,1000,0.08498646002921939,0.004545866297353873,0.0004488714677095647,0.00033551766407710073,0.9114862925809143,0.8627611044417767,3,10,12,0.0004589825625659828,0.0003410138926383932,0.9101402429409392,0.8707322929171669,3,10,13
GELS,GELS,11,2037,3,1500,0.054295573416792475,0.03523675290978079,0.0006823988350627783,0.000614192847318947,0.9473744118653311,0.92124849939976,3,10,12,0.0007668684647625674,0.0007038576808460023,0.9446504319477412,0.9237454981992796,3,10,13
GELS,GELS,11,2037,4,2000,0.05635261792383739,0.033179708402735875,0.0006220743897121699,0.0005730519571780488,0.9633005929343895,0.9498679471788716,3,10,13,0.0007071245373533901,0.0006627167907051041,0.9618604295537674,0.9530372148859544,3,10,14
GELS,GELS,11,2037,5,2500,0.044774373584979266,0.044757952741594,0.0008320491608863912,0.0008046168439552113,0.9751535067760558,0.9566866746698679,4,9,13,0.0009198638286863353,0.0008942816774822665,0.9738511429985698,0.9588955582232893,4,9,14
GELS,GELS,11,2037,6,3000,0.04897173723965764,0.04056058908691562,0.0007490307614394925,0.0007206695708616438,0.9728214306022547,0.9649459783913565,5,9,13,0.000837091674719369,0.000810334404388699,0.9713499522282508,0.9669627851140454,5,9,13
